created_at,field1 (Ambient Temperature),field2 (Ambient Humidity),field3 (soil temperature),field4 (Leaf wetness sensor),field5 (Soil moisute sensor)
2022-01-12T16:23:09+05:30,21.17452,41.9436,41.77006,55060.719,80860.805
2022-01-12T16:37:53+05:30,21.0091,46.34526,41.32341,52923.969,79029.297
2022-01-12T16:51:01+05:30,24.00331,-21.7781,61.80314,52923.969,80769.227
2022-01-12T17:14:37+05:30,22.08437,48.7113,41.43921,53538.012,82692.297
2022-01-12T17:17:56+05:30,21.81969,49.26338,41.65426,53216.367,82925.398
2022-01-12T17:31:16+05:30,23.30852,-21.77617,61.93549,51900.586,80128.203
2022-01-14T19:52:13+05:30,21.15798,-21.67591,65.26055,53011.699,100808.09
2022-03-07T17:32:32+05:30,26.3689,39.65762,38.51117,51608.18,INF
2022-03-07T17:35:15+05:30,25.83954,39.62761,39.02399,54261.695,INF
2022-03-07T17:39:51+05:30,26.1373,39.45296,38.70968,53801.168,INF
2022-03-07T17:46:45+05:30,26.51778,40.68754,40.08271,54941.523,INF
2022-03-07T17:50:26+05:30,26.60049,40.89521,38.90819,53538.008,INF
2022-08-18T14:58:21+05:30,25.34326,66.54752,79.45409,INF,INF
2022-10-13T19:18:56+05:30,23.82134,59.28152,29.13151,INF,INF
2022-10-14T10:33:26+05:30,25.19437,66.84882,59.65261,INF,INF
2022-10-14T11:35:17+05:30,24.16874,64.44713,54.65674,INF,INF
2022-10-14T12:06:11+05:30,24.00331,66.00288,57.03888,INF,INF
2022-10-14T12:37:04+05:30,24.2349,54.15105,26.3689,INF,INF
2022-10-14T13:08:09+05:30,24.31762,58.05654,26.79901,INF,INF
2022-10-14T13:39:03+05:30,24.41687,59.29626,31.31513,INF,INF
2022-10-14T14:09:57+05:30,24.15219,56.71726,26.91481,INF,INF
2022-10-14T14:40:50+05:30,24.15219,55.42932,26.53433,INF,INF
2022-10-14T15:11:44+05:30,24.48305,56.14399,26.23656,INF,INF
2022-10-14T15:42:49+05:30,24.31762,53.08704,29.57816,INF,INF
2022-10-14T16:13:55+05:30,24.6981,55.08014,26.69975,INF,INF
2022-10-14T16:44:49+05:30,24.31762,57.65776,28.56907,INF,INF
2022-10-14T17:15:54+05:30,24.8139,59.76164,35.43425,INF,INF
2022-10-14T17:46:49+05:30,24.64847,60.96821,40.97601,INF,INF
2022-10-14T18:17:42+05:30,24.15219,60.88768,48.7014,INF,INF
2022-10-14T18:48:35+05:30,25.17784,50.66556,32.35732,INF,INF
2022-10-14T19:19:29+05:30,25.31017,50.388,33.10174,INF,INF
2022-10-14T19:50:23+05:30,24.9297,52.94215,29.79322,INF,INF
2022-10-14T20:21:23+05:30,25.52522,47.628,36.04632,INF,INF
2022-10-14T20:52:17+05:30,24.31762,50.78635,34.06121,INF,INF
2022-10-14T21:23:10+05:30,23.8048,49.67312,36.4268,INF,INF
2022-10-14T21:36:56+05:30,25.31017,53.49291,30.00827,INF,69047.609
2022-10-14T22:07:22+05:30,24.68156,57.01228,28.02316,INF,69107.141
2022-10-14T22:38:13+05:30,24.64847,58.55844,33.3995,INF,68214.281
2022-10-14T23:08:53+05:30,24.48305,58.66031,34.02812,INF,68154.758
2022-10-14T23:39:33+05:30,24.48305,58.59893,33.53185,INF,68690.477
2022-10-15T00:10:13+05:30,24.8139,60.72895,41.27378,INF,73942.297
2022-10-15T00:40:53+05:30,24.64847,60.32357,36.55914,INF,70059.523
2022-10-15T01:11:33+05:30,24.48305,61.59091,49.21423,INF,69523.805
2022-10-15T01:42:13+05:30,24.48305,62.68028,54.6402,INF,65178.57
2022-10-15T02:12:54+05:30,24.48305,62.09723,49.8263,INF,65892.859
