created_at,field1 (Ambient Temperature),field2 (Ambient Humidity),field3 (soil temperature),field4 (Leaf wetness sensor),field5 (Soil moisute sensor)
2021-08-01T11:14:03+00:00,31.92721,70.39309,19.61952,13007.0,10029.982
2021-08-01T11:45:47+00:00,30.9512,71.45073,19.80149,13049.0,9687.3379
2021-08-01T11:49:13+00:00,31.92721,68.08391,19.70223,13058.0,9663.9463
2021-08-01T12:24:39+00:00,30.8354,72.01481,19.7684,13144.0,9524.3271
2021-08-01T13:03:40+00:00,31.43093,69.22969,19.66915,13165.0,9753.2695
2021-08-01T13:36:04+00:00,28.78412,81.62171,19.61952,13092.0,9737.292
2021-08-01T14:09:31+00:00,28.78412,79.84135,19.53681,13187.0,9747.0
2021-08-01T14:46:18+00:00,29.77667,75.89283,19.40447,13040.0,9862.3525
2021-08-01T14:48:06+00:00,30.07444,74.46501,19.23904,13012.0,10066.956
2021-08-01T14:50:03+00:00,30.22333,73.4955,19.35484,13103.0,10119.697
2021-08-01T15:21:43+00:00,27.85773,84.81227,19.25558,13169.0,9910.8926
2021-08-01T15:53:23+00:00,27.47725,86.04619,19.15633,13109.0,10016.35
2021-08-01T16:25:05+00:00,27.29528,87.42111,19.13979,12820.514,9920.793
2021-08-01T16:58:13+00:00,27.378,88.05571,18.84202,11926.31,9983.3262
2021-08-01T17:29:50+00:00,26.96443,88.42588,18.82548,11507.921,10077.464
2021-08-01T18:01:28+00:00,26.79901,90.11811,18.82548,10408.482,9970.4971
2021-08-01T18:33:05+00:00,26.68321,90.99947,18.72622,9615.3838,9980.7988
2021-08-01T19:04:43+00:00,26.63358,91.35202,18.75931,9090.9082,10057.056
2021-08-01T19:06:28+00:00,26.96443,90.34725,18.62697,8985.0234,10000.4
2021-08-01T19:38:02+00:00,26.46815,92.23338,18.39537,7831.0522,10117.959
2021-08-01T20:09:59+00:00,26.30273,93.83748,18.51117,7312.2524,9910.8926
2021-08-01T20:43:02+00:00,26.46815,92.42729,18.39537,7186.5596,10024.227
2021-08-01T21:14:36+00:00,26.30273,92.51543,18.41191,7372.1616,9920.793
2021-08-01T21:46:10+00:00,26.20347,92.77983,18.51117,6944.4443,9920.793
2021-08-01T21:47:55+00:00,26.50124,92.07474,18.26303,6931.2412,10013.028
2021-08-01T22:19:30+00:00,26.12076,94.10188,18.39537,6435.8979,9920.793
2021-08-01T22:51:08+00:00,26.1373,94.43681,18.49462,6371.1191,10026.056
2021-08-01T23:22:45+00:00,25.98842,94.70122,18.37882,6040.7139,10057.057
2021-08-01T23:54:20+00:00,25.97188,94.91275,18.39537,6062.063,9891.2842
2021-08-02T00:25:56+00:00,25.97188,96.30531,18.39537,5328.9717,9931.4941
2021-08-02T00:57:31+00:00,25.85608,97.73312,18.24648,4688.8818,9872.0645
2021-08-02T00:59:16+00:00,26.25311,96.65785,18.31266,4755.9829,9910.8926
2021-08-02T01:00:58+00:00,26.79901,93.23814,18.27957,4697.9951,9871.8701
2021-08-02T01:02:44+00:00,27.29528,90.91134,18.37882,4673.2095,10016.35
2021-08-02T01:34:18+00:00,25.80645,98.50873,18.29611,4064.0691,9891.2842
2021-08-02T02:06:12+00:00,26.08768,97.73312,18.3292,4361.7705,9914.9893
2021-08-02T02:42:52+00:00,27.79156,87.50926,18.74276,5154.6396,9900.9912
2021-08-02T03:14:25+00:00,26.63358,92.60356,18.36228,6128.1982,9842.75
2021-08-02T03:49:28+00:00,27.62614,87.31535,18.8751,6414.3926,9962.459
2021-08-02T04:24:12+00:00,27.79156,88.14384,18.34574,6677.4399,9881.5771
2021-08-02T04:25:59+00:00,28.45327,85.16481,18.41191,6383.0771,9891.2842
2021-08-02T04:30:52+00:00,29.26385,80.75798,18.26303,6654.4507,9932.1133
2021-08-02T05:02:29+00:00,27.46071,89.04283,18.42845,8064.5166,9955.8184
2021-08-02T05:04:13+00:00,27.79156,87.49162,18.36228,8612.0176,9881.5771
2021-08-02T05:35:51+00:00,26.96443,91.9866,18.54425,7857.0732,9718.2559
2021-08-02T06:09:27+00:00,27.46071,90.75269,18.52771,8053.3413,9727.7734
2021-08-02T06:11:13+00:00,28.1555,87.9852,18.79239,8099.0703,9816.3848
2021-08-02T11:30:49+00:00,28.12242,83.71937,18.97436,12723.142,9620.1641
2021-08-02T12:02:25+00:00,27.64268,88.93707,18.92473,9442.9463,9648.8379
2021-08-02T12:42:21+00:00,29.44582,81.79799,18.80893,6571.9741,9498.6348
2021-08-02T13:13:55+00:00,26.63358,97.69786,18.72622,3265.116,9623.1953
2021-08-02T13:45:29+00:00,26.1373,100.0,18.92473,3298.4263,9324.6943
2021-08-02T13:47:12+00:00,26.46815,100.0,18.84202,3300.6274,9251.2402
2021-08-02T13:48:55+00:00,27.09677,98.68501,18.51117,3303.9343,9324.8535
2021-08-02T14:20:40+00:00,26.1373,100.0,18.56079,3300.3301,9242.5879
2021-08-02T14:22:24+00:00,26.46815,100.0,18.59388,3343.6379,9259.5762
2021-08-02T14:24:06+00:00,27.12986,96.9399,18.90819,3330.1387,9259.5762
2021-08-02T16:43:30+00:00,27.12986,96.55209,18.445,3341.4304,9456.834
2021-08-02T17:16:42+00:00,26.63358,98.03278,18.49462,3407.302,9530.1553
2021-08-02T17:18:26+00:00,27.1464,94.87749,18.41191,3426.198,9354.6113
2021-08-02T17:21:40+00:00,27.95699,90.312,18.57734,3417.8547,9302.5264
2021-08-02T17:53:21+00:00,26.30273,97.96228,18.57734,3575.5188,9475.5518
2021-08-02T17:55:06+00:00,26.63358,96.49921,18.41191,3655.3091,9313.7246
2021-08-02T18:26:46+00:00,26.30273,95.75887,18.34574,3840.7603,9276.5654
2021-08-02T18:28:30+00:00,26.65013,95.19478,18.49462,3802.6382,9285.2188
2021-08-02T19:00:12+00:00,26.30273,96.19954,18.49462,3818.6167,9267.9121
2021-08-02T19:31:52+00:00,26.30273,95.00088,18.37882,4071.9778,9392.9863
2021-08-02T20:03:33+00:00,26.26964,94.5602,18.26303,4050.6333,9267.9121
2021-08-02T20:45:11+00:00,28.12242,85.11193,18.54425,3862.8511,9259.2588
2021-08-02T20:46:56+00:00,28.20513,84.33632,18.49462,3847.6387,9504.1387
2021-08-02T21:18:38+00:00,26.1373,95.93513,18.47808,3943.6431,9354.9365
